Borough,Neighborhood,Latitude,Longitude
Boston,Jamaica Plain,42.310871,-71.125061
Boston,Leather District,42.34796,-71.05641
Boston,Back Bay,42.350266,-71.080978
Boston,Bay Village,42.35015,-71.06519
Boston,Downtown,42.3553,-71.05528
Boston,Roxbury,42.317982,-71.158508
Boston,Fenway,42.33267,-71.09791
Boston,Chinatown,42.34796,-71.05641
Boston,West Roxbury,42.27887,-71.15939
Boston,Beacon Hill,42.360291,-71.06868
Boston,Roslindale,42.317982,-71.158508
Boston,North End,42.365528,-71.060883
Boston,East Boston,42.38913,-71.00705
Boston,Brighton,42.31798,-71.15851
Boston,Mission Hill,42.334,-71.097908
Boston,Dorchester,42.29978,-71.07884
Boston,Mattapan,42.252159,-71.124947
Boston,Longwood Medical Area,42.35899,-71.05863
Boston,South End,42.33267,-71.09791
Boston,South Boston,42.33267,-71.09791
Boston,Charlestown,42.37776,-71.06732
Boston,South Boston Waterfront,42.32681,-71.00465
Boston,Harbor Islands,42.34901,-71.0347
Boston,Hyde Park,42.25581,-71.12413
Boston,West End,42.36565,-71.06727
Boston,Allston,42.35114,-71.13144